address,key1,key2,key3
eip155:1:0xB04DFdb8271ed2d5e13858562C44A77D3CEb9e57,BuildUp,BUP,
eip155:1:0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,Gemini Dollar,GUSD,
eip155:1:0xBF494F02EE3FdE1F20BEE6242bCe2d1ED0c15e47,World Token,WORLD,
eip155:1:0x66fD97a78d8854fEc445cd1C80a07896B0b4851f,Lunch Money,LMY,
eip155:1:0xE276056f924E15BEac26F7b10B6D2805F9c64Bb5,Firulais,FIRU,
eip155:1:0x1715AC0743102BF5Cd58EfBB6Cf2dC2685d967b6,Synthetic Polkadot,sDOT,
eip155:1:0xf3dcbc6D72a4E1892f7917b7C43b74131Df8480e,Big Data Protocol,BDP,
eip155:1:0xb892249939AdBf6D7851864CA9A5c7D2d537af97,Gambler Shiba,GSHIBA,
eip155:1:0x49184E6dAe8C8ecD89d8Bdc1B950c597b8167c90,Libertas,LIBERTAS,
eip155:1:0xB72B31907C1C95F3650b64b2469e08EdACeE5e8F,bZx Vesting Token,vBZRX,
eip155:1:0xD8Bd3958725F216Eb236E9DC65B169DE48101C6A,Globatalent,GBT,
eip155:1:0x60EF10EDfF6D600cD91caeCA04caED2a2e605Fe5,Mochi Inu,MOCHI,
eip155:1:0x156B36ec68FdBF84a925230BA96cb1Ca4c4bdE45,Wrapped MNT,MNT,
eip155:1:0x3212b29E33587A00FB1C83346f5dBFA69A458923,The Tokenized Bitcoin,imBTC,
eip155:1:0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,Storj,STORJ,
eip155:1:0x37Ee79E0B44866876de2fB7F416d0443DD5ae481,Tatcoin,TAT,
eip155:1:0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,Olympus,OHM,
eip155:1:0x9d1C2A187cf908aEd8CFAe2353Ef72F06223d54D,Strike WBTC,sWBTC,
